query_id,baseline_config_id,hierarchy_config_id,search_scope,top_k,specificity,target_document_codes,baseline_precision,hierarchy_precision,delta_precision,baseline_recall,hierarchy_recall,delta_recall,baseline_f1,hierarchy_f1,delta_f1,baseline_r_precision,hierarchy_r_precision,delta_r_precision,baseline_mrr,hierarchy_mrr,delta_mrr,baseline_ndcg,hierarchy_ndcg,delta_ndcg
q4eu_046,fs_256_50,hier_paragraph,target_acts,10,H,B,0.17647058823529413,0.3333333333333333,0.15686274509803919,0.6,0.6,0.0,0.2727272727272727,0.42857142857142855,0.15584415584415584,0.6,0.6,0.0,0.5,1.0,0.5,0.5296347172140421,0.7227265726449519,0.1930918554309098
q4eu_046,sem_50_256,hier_paragraph,target_acts,10,H,B,0.3076923076923077,0.3333333333333333,0.025641025641025605,0.8,0.6,-0.20000000000000007,0.4444444444444444,0.42857142857142855,-0.015873015873015872,0.6,0.6,0.0,0.5,1.0,0.5,0.6187149874322765,0.7227265726449519,0.1040115852126754
q4eu_047,fs_256_50,hier_paragraph,target_acts,10,N,W,0.17391304347826086,0.2222222222222222,0.048309178743961345,0.8,0.4,-0.4,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2,0.2,0.1,1.0,0.9,0.33714643394343463,0.4599715079731103,0.12282507402967568
q4eu_047,sem_50_256,hier_paragraph,target_acts,10,N,W,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.4,0.4,0.0,0.23529411764705882,0.2857142857142857,0.05042016806722688,0.2,0.2,0.0,1.0,1.0,0.0,0.44615333764087994,0.4599715079731103,0.013818170332230373
q4eu_048,fs_256_50,hier_paragraph,target_acts,10,L,W,0.14285714285714285,0.1,-0.042857142857142844,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.23529411764705882,0.15384615384615383,-0.081447963800905,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,-0.5,0.5893943818208077,0.2960819109658652,-0.2933124708549425
q4eu_048,sem_50_256,hier_paragraph,target_acts,10,L,W,0.125,0.1,-0.024999999999999994,0.3333333333333333,0.3333333333333333,0.0,0.18181818181818182,0.15384615384615383,-0.027972027972027996,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.0,0.2960819109658652,0.2960819109658652,0.0
q4eu_049,fs_256_50,hier_paragraph,target_acts,10,N,W,0.08695652173913043,0.2222222222222222,0.13526570048309178,0.6666666666666666,0.6666666666666666,0.0,0.15384615384615383,0.3333333333333333,0.1794871794871795,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.5893943818208077,0.6257049680303419,0.0363105862095342
q4eu_049,sem_50_256,hier_paragraph,target_acts,10,N,W,0.07142857142857142,0.2222222222222222,0.15079365079365079,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.2156862745098039,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.46927872602275644,0.6257049680303419,0.15642624200758548
q4eu_050,fs_256_50,hier_paragraph,target_acts,10,H,W,0.07692307692307693,0.16666666666666666,0.08974358974358973,0.5,0.5,0.0,0.13333333333333336,0.25,0.11666666666666664,0.0,0.5,0.5,0.3333333333333333,1.0,0.6666666666666667,0.3065735963827292,0.6131471927654584,0.3065735963827292
q4eu_050,sem_50_256,hier_paragraph,target_acts,10,H,W,0.14285714285714285,0.16666666666666666,0.023809523809523808,0.5,0.5,0.0,0.22222222222222224,0.25,0.027777777777777762,0.5,0.5,0.0,1.0,1.0,0.0,0.6131471927654584,0.6131471927654584,0.0
q4eu_051,fs_256_50,hier_paragraph,target_acts,10,L,W,0.09090909090909091,0.4444444444444444,0.3535353535353535,0.4,0.8,0.4,0.14814814814814814,0.5714285714285714,0.42328042328042326,0.0,0.8,0.8,0.14285714285714285,1.0,0.8571428571428572,0.19152768402897846,0.8687949224876582,0.6772672384586798
q4eu_051,sem_50_256,hier_paragraph,target_acts,10,L,W,0.25,0.4444444444444444,0.19444444444444442,0.8,0.8,0.0,0.38095238095238093,0.5714285714285714,0.19047619047619047,0.2,0.8,0.6000000000000001,1.0,1.0,0.0,0.6147815658967566,0.8687949224876582,0.25401335659090163
q4eu_052,fs_256_50,hier_paragraph,target_acts,10,H,W,0.06666666666666667,0.14285714285714285,0.07619047619047618,1.0,1.0,0.0,0.125,0.25,0.125,0.0,1.0,1.0,0.06666666666666667,1.0,0.9333333333333333,0.25,1.0,0.75
q4eu_052,sem_50_256,hier_paragraph,target_acts,10,H,W,0.1,0.14285714285714285,0.042857142857142844,1.0,1.0,0.0,0.18181818181818182,0.25,0.06818181818181818,0.0,1.0,1.0,0.5,1.0,0.5,0.6309297535714575,1.0,0.36907024642854247
